word,pos
Thousands,NNS
of,IN
demonstrators,NNS
have,VBP
marched,VBN
through,IN
London,NNP
to,TO
protest,VB
the,DT
war,NN
in,IN
Iraq,NNP
and,CC
demand,VB
the,DT
withdrawal,NN
of,IN
British,JJ
troops,NNS
from,IN
that,DT
country,NN
.,.
Families,NNS
of,IN
soldiers,NNS
killed,VBN
in,IN
the,DT
conflict,NN
joined,VBD
the,DT
protesters,NNS
who,WP
carried,VBD
banners,NNS
with,IN
such,JJ
slogans,NNS
as,IN
"""",``
Bush,NNP
Number,NN
One,CD
Terrorist,NN
"""",``
and,CC
"""",``
Stop,VB
the,DT
Bombings,NNS
"""",``
.,.
They,PRP
marched,VBD
from,IN
the,DT
Houses,NNS
of,IN
Parliament,NN
to,TO
a,DT
rally,NN
in,IN
Hyde,NNP
Park,NNP
.,.
Police,NNS
put,VBD
the,DT
number,NN
of,IN
marchers,NNS
at,IN
"10,000",CD
while,IN
organizers,NNS
claimed,VBD
it,PRP
was,VBD
"1,00,000",CD
.,.
The,DT
protest,NN
comes,VBZ
on,IN
the,DT
eve,NN
of,IN
the,DT
annual,JJ
conference,NN
of,IN
Britain,NNP
's,POS
ruling,VBG
Labor,NNP
Party,NNP
in,IN
the,DT
southern,JJ
English,JJ
seaside,NN
resort,NN
of,IN
Brighton,NNP
.,.
The,DT
party,NN
is,VBZ
divided,VBN
over,IN
Britain,NNP
's,POS
participation,NN
in,IN
the,DT
Iraq,NNP
conflict,NN
and,CC
the,DT
continued,JJ
deployment,NN
of,IN
"8,500",CD
British,JJ
troops,NNS
in,IN
that,DT
country,NN
.,.
The,DT
London,NNP
march,NN
came,VBD
ahead,RB
of,IN
anti-war,JJ
protests,NNS
today,NN
in,IN
other,JJ
cities,NNS
",",","
including,VBG
Rome,NNP
",",","
Paris,NNP
",",","
and,CC
Madrid,NNP
.,.
The,DT
International,NNP
Atomic,NNP
Energy,NNP
Agency,NNP
is,VBZ
to,TO
hold,VB
second,JJ
day,NN
of,IN
talks,NNS
in,IN
Vienna,NNP
Wednesday,NNP
on,IN
how,WRB
to,TO
respond,VB
to,TO
Iran,NNP
's,POS
resumption,NN
of,IN
low-level,JJ
uranium,NN
conversion,NN
.,.
Iran,NNP
this,DT
week,NN
restarted,VBD
parts,NNS
of,IN
the,DT
conversion,NN
process,NN
at,IN
its,PRP$
Isfahan,NNP
nuclear,JJ
plant,NN
.,.
Iranian,JJ
officials,NNS
say,VBP
they,PRP
expect,VBP
to,TO
get,VB
access,NN
to,TO
sealed,JJ
sensitive,JJ
parts,NNS
of,IN
the,DT
plant,NN
Wednesday,NNP
",",","
after,IN
an,DT
IAEA,NNP
surveillance,NN
system,NN
begins,VBZ
functioning,VBG
.,.
The,DT
step,NN
will,MD
allow,VB
the,DT
facility,NN
to,TO
operate,VB
at,IN
full,JJ
capacity,NN
.,.
The,DT
European,NNP
Union,NNP
",",","
with,IN
U.S.,NNP
backing,NN
",",","
has,VBZ
threatened,VBN
to,TO
refer,VB
Iran,NNP
to,TO
the,DT
U.N.,NNP
Security,NNP
Council,NNP
",",","
which,WDT
could,MD
impose,VB
sanctions,NNS
if,IN
it,PRP
finds,VBZ
Tehran,NNP
has,VBZ
violated,VBN
the,DT
Nuclear,NNP
Non-Proliferation,NNP
treaty,NN
.,.
Iran,NNP
's,POS
new,JJ
President,NNP
Mahmoud,NNP
Ahmadinejad,NNP
said,VBD
Tuesday,NNP
that,IN
European,JJ
incentives,NNS
aimed,VBN
at,IN
persuading,VBG
Iran,NNP
to,TO
end,VB
its,PRP$
nuclear,JJ
fuel,NN
program,NN
are,VBP
an,DT
insult,NN
to,TO
the,DT
Iranian,JJ
nation,NN
.,.
Two,CD
Germans,NNS
and,CC
four,CD
Nigerian,JJ
oil,NN
workers,NNS
were,VBD
kidnapped,VBN
by,IN
armed,JJ
militants,NNS
during,IN
a,DT
raid,NN
on,IN
a,DT
boat,NN
in,IN
Nigeria,NNP
's,POS
southern,JJ
oil-rich,JJ
Delta,NNP
region,NN
.,.
An,DT
official,NN
with,IN
the,DT
German,JJ
firm,NN
Bilfinger,NNP
Berger,NNP
",",","
Thomas,NNP
Horbach,NNP
",",","
said,VBD
the,DT
gunmen,NNS
stopped,VBD
the,DT
supply,NN
boat,NN
Wednesday,NNP
as,IN
it,PRP
sailed,VBD
from,IN
Delta,NNP
State,NNP
to,TO
Bayelsa,NNP
State,NNP
to,TO
inspect,VB
an,DT
offshore,JJ
oil,NN
field,NN
owned,VBN
by,IN
Royal-Dutch,NNP
Shell,NNP
.,.
The,DT
German,JJ
firm,NN
works,VBZ
as,IN
a,DT
sub-contractor,NN
for,IN
Shell,NNP
.,.
Militant,JJ
groups,NNS
frequently,RB
attack,VBP
oil,NN
operations,NNS
in,IN
the,DT
Niger,NNP
Delta,NNP
to,TO
demand,VB
social,JJ
services,NNS
and,CC
better,JJR
job,NN
opportunities,NNS
from,IN
multinational,JJ
companies,NNS
.,.
Poor,JJ
residents,NNS
often,RB
complain,VBP
they,PRP
have,VBP
been,VBN
cheated,VBN
out,IN
of,IN
the,DT
huge,JJ
riches,NNS
extracted,VBN
from,IN
their,PRP$
tribal,JJ
lands,NNS
-,:
where,WRB
the,DT
bulk,NN
of,IN
Nigeria,NNP
's,POS
2.3,CD
million,CD
barrels,NNS
of,IN
petroleum,NN
are,VBP
